s/Tor/libeay32.dll:             PE32 executable for MS Windows 4.00 (DLL), Intel i386, 18 sections
s/Tor/libevent-2-0-5.dll:       PE32 executable for MS Windows 4.00 (DLL), Intel i386, 17 sections
s/Tor/libevent_core-2-0-5.dll:  PE32 executable for MS Windows 4.00 (DLL), Intel i386, 17 sections
s/Tor/libevent_extra-2-0-5.dll: PE32 executable for MS Windows 4.00 (DLL), Intel i386, 17 sections
s/Tor/libgcc_s_sjlj-1.dll:      PE32 executable for MS Windows 4.00 (DLL), Intel i386, 17 sections
s/Tor/libssp-0.dll:             PE32 executable for MS Windows 4.00 (DLL), Intel i386, 17 sections
s/Tor/ssleay32.dll:             PE32 executable for MS Windows 4.00 (DLL), Intel i386, 18 sections
s/Tor/tor.exe:                  PE32 executable for MS Windows 4.00 (console), Intel i386 (stripped to external PDB), 8 sections
s/Tor/zlib1.dll:                PE32 executable for MS Windows 4.00 (DLL), Intel i386 (stripped to external PDB), 10 sections
